### Module positions - created on 2026-01-10 21:16
### Printed by pcb_positions plugin
## Unit = mm, Angle = deg.
## Pcb Height 41.900mm, Pcb Width 161.350mm [based on Edge bounding box]
## Side : ALL
## Board Aux Origin: 0.000mm ,0.000mm
# Ref         Val                 Package                       PosX       PosY       Pin1_PosX  Pin1_PosY    Rot     Side      Type
R16           100K                R_0805_2012Metric             170.0000   -115.0000  169.0875   -115.0000     0.0    top       SMD
R14           100R                R_0805_2012Metric             168.8250   -111.6760  168.8250   -112.5885     9.0    top       SMD
## End
## 90 SMD pads
## 50 TH pads
## 54 Virtual pads
## 4 Top TH modules
## 0 Bot TH modules
## 45 Top SMD modules
## 0 Bot SMD modules
## 14 Top Virtual modules
## 0 Bot Virtual modules
